tabela,coluna,natureza,fonte,entidade,campo_original,campo_normalizado,campo_atomico,origem_arquivo,tipo_original,rotulo_original,descricao_original,derivada_de,nota,modulo,tipo_publicado
ausencias-e-afastamento-autorizado,deputado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.deputado,grafia publicada pelo painel de frequência para a mesma chave/sessão legislativa,diarias.py,texto (inferido pelo painel)
ausencias-e-afastamento-autorizado,chave,chave,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ckan:diarias:Nome; deputados-chave.chave,mesma chave normalizada usada em diarias-por-beneficiario para cruzar os pagamentos com as ordinárias,diarias.py,chave (inferido pelo painel)
ausencias-e-afastamento-autorizado,sessao_legislativa,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.sessao_legislativa,chave de agrupamento — reparte a mesma sessão legislativa da tabela de frequência,diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,ano,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.ano,chave de agrupamento,diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,ordinarias,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.ordinarias,re-soma das ordinárias já publicadas em frequencia-em-sessoes-ordinarias (o guard 22a prova a igualdade),diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,presencas,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.presencas,re-soma das presenças já publicadas em frequencia-em-sessoes-ordinarias,diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,ausencias,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.ausencias,"re-soma das ausências já publicadas em frequencia-em-sessoes-ordinarias, agora partida nas duas colunas seguintes",diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,ausencias_cobertas_por_diaria,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.ausencias; diarias-por-beneficiario.periodo_inicio; diarias-por-beneficiario.periodo_fim,contagem de ausências cuja data cai dentro de um período de afastamento autorizado (Ato da Mesa Diretora) do mesmo deputado,diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,ausencias_sem_cobertura_conhecida,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ausencias-e-afastamento-autorizado.ausencias; ausencias-e-afastamento-autorizado.ausencias_cobertas_por_diaria,"subtração ausências − cobertas; é o que a fonte NÃO explica, nunca um veredito de injustificada",diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,diarias_recebidas,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,diarias-por-beneficiario.chave,contagem de linhas de diarias-por-beneficiario cujo chave é este deputado,diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,dias_de_afastamento_autorizado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,diarias-por-beneficiario.periodo_inicio; diarias-por-beneficiario.periodo_fim,"contagem de dias distintos cobertos por algum período de afastamento deste deputado, entre todas as suas diárias",diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,ordinarias_no_afastamento,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.ordinarias; diarias-por-beneficiario.periodo_inicio; diarias-por-beneficiario.periodo_fim,"contagem de ordinárias cuja data cai dentro de um período de afastamento autorizado, presença ou ausência",diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,presencas_no_afastamento,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.presencas; diarias-por-beneficiario.periodo_inicio; diarias-por-beneficiario.periodo_fim,"das ordinárias no afastamento, quantas o deputado ainda assim compareceu — a cobertura não é automática",diarias.py,contagem (inferido pelo painel)
ausencias-e-afastamento-autorizado,atos_da_mesa,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,diarias-por-beneficiario.ato_da_mesa,"lista dos Atos da Mesa Diretora distintos que autorizaram algum período coberto, unidos por '; '",diarias.py,texto (inferido pelo painel)
ausencias-e-afastamento-autorizado,as_of,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,frequencia-em-sessoes-ordinarias.as_of,as_of da leitura de sessões/presenças usada para reparar as ausências,diarias.py,data (inferido pelo painel)
ausencias-em-votacoes-nominais,deputado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votos-nominais-por-deputado.parlamentar; presencas-em-plenario-por-sessao.deputado,nome do deputado; universo é a união de quem registrou voto nominal e de quem o painel de presença registrou presente em dia com votação nominal,frequencia.py,texto (inferido pelo painel)
ausencias-em-votacoes-nominais,sessao_legislativa,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,sessoes-plenarias-por-sessao.sessao_legislativa; votacoes-detalhe.data,sessão legislativa obtida casando a data da votação com a sessão do painel de sessões que ocorreu naquele dia,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,ano,atomica,powerbi,painel-votacao,acc DM_TEMPO.ANO,acc_dm_tempo.ano,powerbi:painel-votacao:acc DM_TEMPO.ANO,modelo 7810250 / entidade acc DM_TEMPO,DataType 4 (Number(Whole)),n/d,n/d,n/d,n/d,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,votacoes_nominais_presente,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.data; presencas-em-plenario-por-sessao.data; presencas-em-plenario-por-sessao.deputado,contagem de votações nominais cuja data coincide com um dia em que o painel de presença registrou o deputado presente na sessão,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,votou,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votos-nominais-por-deputado.parlamentar; votos-nominais-por-deputado.co_materia; presencas-em-plenario-por-sessao.deputado,"das votações nominais em dias de presença, contagem das que o deputado registrou voto em votos-nominais-por-deputado",frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,presente_e_nao_votou,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ausencias-em-votacoes-nominais.votacoes_nominais_presente; ausencias-em-votacoes-nominais.votou,votacoes_nominais_presente menos votou — presente na sessão do dia mas sem voto registrado naquela matéria,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,votacoes_nominais_da_sessao_legislativa,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.data; votacoes-detalhe.ano; votacoes-detalhe.co_materia,"contagem de votações nominais no par (ano, sessão legislativa) do deputado — mesmo denominador para todos os deputados do par",frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,nao_votou,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ausencias-em-votacoes-nominais.votacoes_nominais_da_sessao_legislativa; votos-nominais-por-deputado.parlamentar; votos-nominais-por-deputado.co_materia,"votacoes_nominais_da_sessao_legislativa menos as que o deputado registrou voto, presente ou não",frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,votos_sim,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votos-nominais-por-deputado.voto; votos-nominais-por-deputado.parlamentar,contagem de votos do deputado com voto=SIM entre as votações nominais da sessão legislativa,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,votos_nao,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votos-nominais-por-deputado.voto; votos-nominais-por-deputado.parlamentar,contagem de votos do deputado com voto=NAO entre as votações nominais da sessão legislativa,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,abstencoes,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votos-nominais-por-deputado.voto; votos-nominais-por-deputado.parlamentar,contagem de votos do deputado com voto=ABSTENCAO entre as votações nominais da sessão legislativa,frequencia.py,contagem (inferido pelo painel)
ausencias-em-votacoes-nominais,as_of,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.as_of,maior as_of entre as votações nominais do período — mesmo carimbo do painel de votação,frequencia.py,data (inferido pelo painel)
ausencias-por-votacao-nominal,sessao_legislativa,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,sessoes-plenarias-por-sessao.sessao_legislativa; votacoes-detalhe.data,sessão legislativa obtida casando a data da votação com a sessão do painel de sessões que ocorreu naquele dia,frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,ano,atomica,powerbi,painel-votacao,acc DM_TEMPO.ANO,acc_dm_tempo.ano,powerbi:painel-votacao:acc DM_TEMPO.ANO,modelo 7810250 / entidade acc DM_TEMPO,DataType 4 (Number(Whole)),n/d,n/d,n/d,n/d,frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,co_materia,atomica,powerbi,painel-votacao,acc DM_MATERIA.CO_MATERIA,acc_dm_materia.co_materia,powerbi:painel-votacao:acc DM_MATERIA.CO_MATERIA,modelo 7810250 / entidade acc DM_MATERIA,DataType 4 (Number(Whole)),n/d,n/d,n/d,n/d,frequencia.py,chave (inferido pelo painel)
ausencias-por-votacao-nominal,data,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.data,"mesma data de votacoes-detalhe.data, truncada para AAAA-MM-DD",frequencia.py,data (inferido pelo painel)
ausencias-por-votacao-nominal,dia_da_semana,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ausencias-por-votacao-nominal.data,dia da semana calculado a partir de data (datetime.date.weekday()),frequencia.py,texto (inferido pelo painel)
ausencias-por-votacao-nominal,materia,atomica,powerbi,painel-votacao,acc DM_MATERIA.DS_MATERIA,acc_dm_materia.ds_materia,powerbi:painel-votacao:acc DM_MATERIA.DS_MATERIA,modelo 7810250 / entidade acc DM_MATERIA,DataType 1 (Text),n/d,n/d,n/d,n/d,frequencia.py,texto (inferido pelo painel)
ausencias-por-votacao-nominal,presentes_no_dia,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,presencas-em-plenario-por-sessao.deputado; presencas-em-plenario-por-sessao.data,contagem de deputados distintos que o painel de presença registrou na sessão daquela data,frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,votantes,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votos-nominais-por-deputado.parlamentar; votos-nominais-por-deputado.co_materia,contagem de deputados distintos que registraram voto naquela matéria em votos-nominais-por-deputado,frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,presentes_que_nao_votaram,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ausencias-por-votacao-nominal.presentes_no_dia; ausencias-por-votacao-nominal.votantes,"presentes_no_dia menos votantes, nunca negativo (o maior entre a diferença e zero)",frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,votos_sim,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.votos_sim,"mesmo valor de votacoes-detalhe.votos_sim, para a matéria",frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,votos_nao,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.votos_nao,"mesmo valor de votacoes-detalhe.votos_nao, para a matéria",frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,abstencoes,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.abstencoes,"mesmo valor de votacoes-detalhe.abstencoes, para a matéria",frequencia.py,contagem (inferido pelo painel)
ausencias-por-votacao-nominal,as_of,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,votacoes-detalhe.as_of,as_of da votação — mesmo carimbo do painel de votação,frequencia.py,data (inferido pelo painel)
comissoes-parlamentares-de-inquerito,ano,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno; pleservico:proposicao:content[].dataLeitura,"ano extraído de siglaNumeroAno (ex.: 'PL 1492/2024'); quando isso não é possível, cai para dataLeitura — o campo `ano` da API vem sempre nulo",export.py,contagem (inferido pelo painel)
comissoes-parlamentares-de-inquerito,tipoProposicao,atomica,pleservico,proposicao,content[].tipoProposicao,content[].tipoproposicao,pleservico:proposicao:content[].tipoProposicao,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,numero,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno,número extraído de siglaNumeroAno por convocacao.numero_de,export.py,chave (inferido pelo painel)
comissoes-parlamentares-de-inquerito,siglaNumeroAno,atomica,pleservico,proposicao,content[].siglaNumeroAno,content[].siglanumeroano,pleservico:proposicao:content[].siglaNumeroAno,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,data_leitura,atomica,pleservico,proposicao,content[].dataLeitura,content[].dataleitura,pleservico:proposicao:content[].dataLeitura,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,data (inferido pelo painel)
comissoes-parlamentares-de-inquerito,clausula,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,comissoes-parlamentares-de-inquerito.ano,"rótulo fixo 'C1-criacao-de-cpi-requerida' que este projeto atribui a toda linha aceita por dataset11_classifica (a cláusula C1 da regra do dataset 11) — constante, e citada aqui porque é a única cláusula que esta tabela publica",export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,assinaturas,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao-autores:[].id,"contagem dos autores estruturados declarados na proposição (/proposicao/autores), lida por dataset11_cpis",export.py,contagem (inferido pelo painel)
comissoes-parlamentares-de-inquerito,assinaturas_fonte,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,comissoes-parlamentares-de-inquerito.ano,"rótulo fixo 'proposicao_autor (GET /proposicao/autores/{id})' que este projeto atribui, nomeando a rota que abastece a contagem de assinaturas e as colunas signatarios/signatario_ids — constante em toda linha",export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,instalada,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,comissoes-parlamentares-de-inquerito.ano,"sempre vazia: nenhuma fonte pública da CLDF diz se a CPI foi instalada (achado F-070); a coluna é publicada mesmo assim, vazia, para que a ausência seja visível em vez de omitida",export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,relatorio_final,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,comissoes-parlamentares-de-inquerito.ano,sempre vazia: nenhuma fonte pública da CLDF publica o relatório final de uma CPI (achado F-071); mesma decisão de publicar a ausência em vez de omiti-la,export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,signatarios,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao-autores:[].nome,"nomes dos autores estruturados declarados na proposição, unidos por '; '",export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,signatario_ids,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao-autores:[].id,"ids dos autores estruturados, unidos por '; '",export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito,ementa,atomica,pleservico,proposicao,content[].ementa,content[].ementa,pleservico:proposicao:content[].ementa,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito-assinaturas,ano,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno; pleservico:proposicao:content[].dataLeitura,"ano extraído de siglaNumeroAno (ex.: 'PL 1492/2024'); quando isso não é possível, cai para dataLeitura — o campo `ano` da API vem sempre nulo",export.py,contagem (inferido pelo painel)
comissoes-parlamentares-de-inquerito-assinaturas,numero,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno,"número extraído de siglaNumeroAno por convocacao.numero_de, mesmo cálculo da tabela comissoes-parlamentares-de-inquerito",export.py,chave (inferido pelo painel)
comissoes-parlamentares-de-inquerito-assinaturas,siglaNumeroAno,atomica,pleservico,proposicao,content[].siglaNumeroAno,content[].siglanumeroano,pleservico:proposicao:content[].siglaNumeroAno,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
comissoes-parlamentares-de-inquerito-assinaturas,autor_id,atomica,pleservico,proposicao-autores,[].id,[].id,pleservico:proposicao-autores:[].id,GET https://ple.cl.df.gov.br/pleservico/api/public/proposicao/autores/155897,number,n/d,n/d,n/d,n/d,export.py,chave (inferido pelo painel)
comissoes-parlamentares-de-inquerito-assinaturas,deputado,atomica,pleservico,proposicao-autores,[].nome,[].nome,pleservico:proposicao-autores:[].nome,GET https://ple.cl.df.gov.br/pleservico/api/public/proposicao/autores/155897,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
compras-por-modalidade-e-ano,origem,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ckan:contratacao:ModalidadeNome,rótulo 'PNCP' ou 'ComprasNet' que este projeto atribui conforme qual dos dois grupos de recursos harvestados (FONTES['compra']) produziu a linha — nenhum campo da fonte publica isso,contratacao.py,texto (inferido pelo painel)
compras-por-modalidade-e-ano,ano,atomica,ckan,contratacao,AnoCompra | ANO,anocompra | ano,ckan:contratacao:AnoCompra; ckan:contratacao:ANO,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7) | contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),numeric,n/d,n/d,n/d,"o ano da compra, um campo por origem — PNCP usa AnoCompra, ComprasNet usa ANO",contratacao.py,contagem (inferido pelo painel)
compras-por-modalidade-e-ano,modalidade,atomica,ckan,contratacao,ModalidadeNome | MODALIDADE,modalidadenome | modalidade,ckan:contratacao:ModalidadeNome; ckan:contratacao:MODALIDADE,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7) | contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),text,n/d,n/d,n/d,"a modalidade da compra, um campo por origem",contratacao.py,texto (inferido pelo painel)
compras-por-modalidade-e-ano,compras,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,compras-por-modalidade-e-ano.origem; compras-por-modalidade-e-ano.ano; compras-por-modalidade-e-ano.modalidade,"contagem de compras agrupadas por (origem, ano, modalidade)",contratacao.py,contagem (inferido pelo painel)
compras-por-modalidade-e-ano,valor_estimado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ckan:contratacao:ValorTotalEstimado; ckan:contratacao:ESTIMADO,soma do valor estimado das compras do grupo,contratacao.py,dinheiro (inferido pelo painel)
compras-por-modalidade-e-ano,valor_homologado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ckan:contratacao:ValorTotalHomologado; ckan:contratacao:ADJUDICADO,soma do valor homologado/adjudicado das compras do grupo,contratacao.py,dinheiro (inferido pelo painel)
compras-por-modalidade-e-ano,compras_sem_valor_homologado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ckan:contratacao:ValorTotalHomologado; ckan:contratacao:ADJUDICADO,contagem de compras do grupo sem valor homologado publicado,contratacao.py,dinheiro (inferido pelo painel)
compras-por-modalidade-e-ano,processos_tambem_em_licitacoes,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,ckan:contratacao:NumeroProcesso; ckan:contratacao:PROCESSO; licitacoes-e-dispensas.processo,"contagem de processos do grupo que também aparecem na tabela de procedimentos, casados por número de processo",contratacao.py,chave (inferido pelo painel)
