numero,empresa,cnpj,forma_do_registro,modalidade,objeto,gestor,fiscal_tecnico,fiscal_administrativo,ato_de_nomeacao,valor,data_inicio,data_termino,vigencia_na_colheita,empresa_sancionada,recebeu_ordem_bancaria,as_of
024-22,WETALK TECNOLOGIA DA INFORMACAO LTDA,23880630000284,cnpj,Pregão,Aquisição de licenças anuais do software ZOOM do tipo Zoom Business Host.,,,,,"52.920,00",2022-07-29,2022-10-21,encerrado,não,sim,2026-06-26T15:56:41
023-17,CASA LIMPA DEDETIZADORA - ME,10902520000143,cnpj,Pregão,"Prestação de serviços de controle de pragas urbanas, envolvendo desinsetização e desratização nas dependências internas e externas da CLDF.",,,,,"23.796,00",2021-10-24,2022-10-23,encerrado,não,sim,2026-06-26T15:56:41
,TRIBUNAL REGIONAL ELEITORAL DO DISTRITO FEDERAL (TRE-DF),04099695000161,cnpj,Acordo de Cooperação,"Compartilhamento de instalações, equipamentos, materiais, insumos, mobiliário, recursos humanos e infraestrutura para realização de filmagem, gravação e transmissão dos procedimentos de auditoria das urnas eletrônicas (teste de integridade)",,,,,,2022-09-13,2022-12-31,encerrado,não,não,2026-06-26T15:56:41
001-19,COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL - NOVACAP,00037457000170,cnpj,Convênio,"Manutenção preventiva, corretiva e preditiva, assistência técnica, fornecimento de peças, materiais e insumos dos sistemas de elevadores da CLDF.",,,,,"748.000,00",2021-08-20,2022-12-31,encerrado,não,não,2026-06-26T15:56:41
001-20,GOVERNO DO DISTRITO FEDERAL - GDF,09639459000104,cnpj,Inexigibilidade,Serviços de publicação no Diário Oficial do Distrito Federal de atos oficiais e demais matérias de interesse da Câmara Legislativa do Distrito Federal - CLDF.,,,,,"180.000,00",2022-01-01,2022-12-31,encerrado,não,não,2026-06-26T15:56:41
ARP 001-22,PURÍSSIMA ÁGUA MINERAL LTDA,72602303000195,cnpj,Ata de Registro de Preço,"Fornecimento diário de água mineral sem gás, em galões de 20 litros, para atender as necessidades da Câmara Legislativa do Distrito Federal.",,,,,"78.540,00",2022-01-05,2023-01-04,encerrado,não,sim,2026-06-26T15:56:41
003-22,DROGARIA LIBERAL E PEREIRA EIRELI,13544130000137,cnpj,Pregão,"Fornecimento parcelado de insumos de enfermagem e de medicamentos, para atendimento do Setor de Assistência à Saúde da CLDF.",,,,,"32.065,84",2022-01-12,2023-01-11,encerrado,não,sim,2026-06-26T15:56:41
002-18,BELFORT GERENCIAMENTO DE RESÍDUOS LTDA - EPP,10865146000153,cnpj,Pregão,Coleta de Resíduos do Serviços de Saúde (RSS) da CLDF.,,,,,"5.072,00",2022-01-25,2023-01-24,encerrado,não,sim,2026-06-26T15:56:41
004-18,SEFIX - GESTÃO DE PROFISSIONAIS EIRELI,13258899000199,cnpj,Pregão,"Contratação, por meio de execução indireita, de serviços contínuos e sob demanda de limpeza, conservação e higienização com fornecimento de materiais e equipamentos, no edifícios e áreas da CLDF.",,,,,"2.668.504,80",2022-02-08,2023-02-07,encerrado,não,sim,2026-06-26T15:56:41
010-22,NEO CONSULTORIA E ADMINISTRACAO DE BENEFICIOS EIRELI,25165749000110,cnpj,Pregão,"Fornecimento de combustíveis (gasolina comum, óleo diesel comum e etanol hidratado), em rede de postos credenciados em todo território nacional, através da implantação e operação de sistema (software)",,,,,"220.569,22",2022-03-15,2023-03-14,encerrado,não,sim,2026-06-26T15:56:41
ARP 001-22,MILLENNIUM EVENTOS EIRELI,13922714000107,cnpj,Ata de Registro de Preço,"Organização de eventos e correlatos, a serem realizados em atividades internas e externas institucionais da CLDF.",,,,,"2.749.460,00",2022-03-15,2023-03-14,encerrado,não,sim,2026-06-26T15:56:41
011-22,ZEPIM SEGURANÇA E VIGILÂNCIA EIRELI,02282727000134,cnpj,Pregão,"Contratação, por meio de execução indireta, de serviços contínuos e sob demanda de vigilância patrimonial (armada e desarmada) para a preservação do patrimônio publico e a segurança dos servidores e do público em geral.",,,,,"4.635.734,83",2022-03-18,2023-03-17,encerrado,não,sim,2026-06-26T15:56:41
ARP 002-22,DFLORES - FLORES E PLANTAS LTDA,29853493000194,cnpj,Ata de Registro de Preço,"Prestação de serviços de ornamentação, para fornecimento de arranjos de flores e materiais de decoração correlatos.",,,,,"34.067,55",2022-03-25,2023-03-24,encerrado,não,sim,2026-06-26T15:56:41
009-18,ECOPENSE AMBIENTAL-LTDA,27149997000100,cnpj,Pregão,"Serviços continuados de coleta, transporte, transbordo, tratamento e destinção ou disposição final ambientalmente adequado dos resíduos sólidos orgânicos e indiferneciados gerados nas dependências da CLDF.",,,,,"16.797,96",2022-03-28,2023-03-27,encerrado,não,sim,2026-06-26T15:56:41
013-21,MANC - MANUTENÇAO E CONSTRUÇÃO EIRELI,11450144000166,cnpj,Pregão,Contratação de empresa especializada na prestação de serviços de manutenção predial nos sistemas e nas instalações do edifício sede da CLDF.,,,,,"2.399.099,34",2022-04-09,2023-04-08,encerrado,não,sim,2026-06-26T15:56:41
016-22,MEGA SOLUCOES CIENTIFICAS E LOCACAO EIRELI,12086330000120,cnpj,Pregão,"Manutenção preventiva, corretiva, calibração e reposição de peças e acessórios, mediante ressarcimento, em equipamentos em saúde do Setor de Assisntência à Saúde da CLDF.",,,,,"34.999,92",2022-05-04,2023-05-03,encerrado,não,sim,2026-06-26T15:56:41
071-21,NCT INFORMÁTICA LTDA,03017428000135,cnpj,Pregão,"Fornecimento de equipamentos de rede, com garantia, suporte e assistência técnica, pelo período de 36 (trinta e seis) meses.",,,,,"1.530.000,00",2022-01-04,2023-05-03,encerrado,não,sim,2026-06-26T15:56:41
014-18,ALGAR TELECOM S/A,71208516000174,cnpj,Pregão,"Prestação de serviços eletrônicos fixo comutado STFC, na modalidade local e suas derivações, troncos digitais E1 E DDR (discagem direta ramal) e grupo de ramais (faixa de numeração e dos serviços contínuos de telefonia).",,,,,"94.277,68",2022-05-09,2023-05-08,encerrado,não,sim,2026-06-26T15:56:41
016-18,DECISION SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA,03535902000110,cnpj,Pregão,"Aquisição de infraestrutura de servidores, com serviços de instalação, configuração e capacitação, para compor a rede de processamento de dados da CLDF.",,,,,"1.751.029,00",2018-05-11,2023-05-10,encerrado,não,sim,2026-06-26T15:56:41
015-18,OI S.A,,nao_verifica,Pregão,Fornecimento de assinatura de ferramenta de pesquisa e comparação de preços com disponibiização de duas senhas a serem utilizadas pela DAF e pelo NUAQ para estimar custos das aquisições e das contratações da CLDF.,,,,,"16.202,60",2022-05-22,2023-05-21,encerrado,não,não,2026-06-26T15:56:41
018-22,CODEX ATLANTICUS TECNOLOGIA E INFORMAÇÃO LTDA,21024602000159,cnpj,Pregão,"Execução de serviços técnicos especializados em business intelligence (BI), em regime de fábrica de software dimensionado em pontos de função.",,,,,"698.390,00",2022-05-24,2023-05-23,encerrado,não,sim,2026-06-26T15:56:41
001-18,TRIBUNAL DE CONTAS DO DF,00534560000126,cnpj,Acordo de Cooperação,"Cooperação técnico-científica e cultural, intercâmbio de conhecimento, informações e experiências, bem como o desenvolvimento institucional e de recursos humanos mediante implementação de ações, programas, projetos e atividades de interesses comuns.",,,,,,2018-06-13,2023-06-12,encerrado,não,não,2026-06-26T15:56:41
025-21,DMP COMÉRCIO E SERVIÇOS TÉCNICOS EIRELI,27490346000171,cnpj,Pregão,"Serviços de confecção e fornecimento de cartão em PVC, personalizados, que serão utilizados pelos associados do Fundo de Assistência à Saúde dos Servidores e Deputados da Câmara Legislativa do Distrito Federal.",,,,,"29.900,00",2022-06-15,2023-06-14,encerrado,não,sim,2026-06-26T15:56:41
,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA (IFB)",10791831000182,cnpj,Termo de Compromisso,"O LICENCIANTE autoriza a LICENCIADA a exibir, na sua grade de programação, a(s) obra(s) audiovisual(is) especificada(s).",,,,,,2022-06-21,2023-06-20,encerrado,não,não,2026-06-26T15:56:41
,CAIXA ECONÔMICA FEDERAL,00360305000104,cnpj,Permissão de Uso,Permissão de uso de área pública na CLDF para inslalação de 1 posto de atendimento eletrônico.,,,,,"23,70",2018-07-24,2023-06-28,encerrado,não,não,2026-06-26T15:56:41
021-18,NCT INFORMÁTICA LTDA,03017428000135,cnpj,Pregão,"Atualização de solução de firewall, composta de licenciamento, atualização de equipamentos e assinaturas de subescrição de serviços de segurança Unifield threat management-UTM, com garantia e suporte técnico.",,,,,"734.000,00",2018-07-18,2023-07-17,encerrado,não,sim,2026-06-26T15:56:41
029-18,METASIX TECNOLOGIA LTDA -EPP,11545952000107,cnpj,Pregão,Contratação de solução de tecnologia da informação para atendimento das demandas da ouvidoria e do serviço de atendimento ao cidadão da CLDF.,,,,,"101.899,84",2021-11-23,2023-07-22,encerrado,não,sim,2026-06-26T15:56:41
036-21,INFOCONS - PRODUTOS E SERVIÇOS DE INFORMÁTICA LTDA,15813919000171,cnpj,Dispensa,Prestação de serviços de leitura contínua e ininterrupta do Diário da Justiça para a CLDF.,,,,,"1.800,00",2022-07-28,2023-07-27,encerrado,não,sim,2026-06-26T15:56:41
037-21,COPIADORA UNIVERSITÁRIA LTDA,03462349000133,cnpj,Pregão,"Contratação de empresa especializada para prestação de serviços de plotagem de arquivos digitais do tipo PLT, PDF e/ou DWG, cópias xerográficas e escaneamento de plantas nos padrões A0 e A1, sob demanda.",,,,,"21.155,00",2022-07-29,2023-07-28,encerrado,não,sim,2026-06-26T15:56:41
004-22,2L COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES EIRELI ME,27719713000166,cnpj,Dispensa,"Construção de diagnóstico completo das necessidades, acompanhado da entrega de projeto técnico/executivo e prestação de assessoria técnica, visando à atualização tecnológica dos recursos audiovisuais da CLDF.",,,,,"16.628,40",2022-08-01,2023-07-31,encerrado,não,sim,2026-06-26T15:56:41
025-22,TELEFONICA BRASIL S.A.,02558157000162,cnpj,Dispensa,"Contratação de 70 linhas telefônicas móveis que possuem comunicação de voz e dados, acesso à Internet, correio eletrônico e mensagens de texto, devendo os serviços oferecerem as facilidades de roaming nacional e internacional, automático.",,,,,"12.003,48",2022-08-02,2023-08-01,encerrado,não,sim,2026-06-26T15:56:41
026-22,BUYSOFT DO BRASIL LTDA,10242721000161,cnpj,Dispensa,"Aquisição de licenças de uso do software Microsoft PowerBI PRO, no modelo SaaS (Software as a Service) pelo período de 12 meses, incluindo atualizações e suporte técnico.",,,,,"3.239,55",2022-08-03,2023-08-02,encerrado,não,sim,2026-06-26T15:56:41
020-23,ALLIADA COMÉRCIO ELETRÔNICOS,38068529000110,cnpj,Dispensa,Aquisição de licenças anuais do software ZOOM do tipo Zoom PRO.,Caio Rodrigues de Souza,Cláudio Agra de Oliveira,,"PSG nº 211, de 18/08/2023, DCL nº 180, 22/08/2023","4.422,61",2023-08-14,2023-08-13,encerrado,não,sim,2026-06-26T15:56:41
,3F LTDA,23484444000145,cnpj,Inexigibilidade,"Contratação de empresa especializada visando à aquisição de licenças de uso do software ORÇAFASCIO, pelo período de 12 meses para cinco usuários da CLDF",,,,,"2.797,00",2022-08-30,2023-08-29,encerrado,não,sim,2026-06-26T15:56:41
ARP 003-22,HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA,72649361000174,cnpj,Ata de Registro de Preço,Fornecimento de carimbos e produtos análogos para atender às necessidades da CLDF.,,Oscar Rafael Montes Monterrojas / Ana Paula Da C. Fernandes,,"PSG nº 114, de 01/09/2022, DCL nº 180, de 05/09/2022.","6.258,00",2022-08-30,2023-08-29,encerrado,não,sim,2026-06-26T15:56:41
024-19,VISUAL SISTEMA ELETRÔNICO LTDA,23921349000161,cnpj,Pregão,Fornecimento de sistema de informatização da sessão plenária com instalação de painel eletrônico de votação e respectivos dispositivos de votação e aferimento de presença e quórum no plenário da CLDF,,,,,"1.961.712,00",2019-10-14,2023-09-13,encerrado,não,sim,2026-06-26T15:56:41
039-21,ESCRITÓRIO CENTRAL DE ARRECADAÇÃO E DISTRIBUIÇÃO - ECAD,00474973000162,cnpj,Não Aplicável,"O ECAD concede à Licenciada, mediante a contrapartida mensal ora pactuada, autorização, em caráter não exclusivo, para execução pública de obras musicais, literomusicais e de fonogramas, nas programações de TV da CLDF.",,,,,"124.050,50",2022-09-14,2023-09-13,encerrado,não,sim,2026-06-26T15:56:41
032-20,L3 INFORMÁTICA LTDA,21270587000129,cnpj,Pregão,"Contratação de empresa para fornecimento de assinaturas de uso temporário de softwares de edição gráfica e de vídeo, com direito de atualização, pelo período de 36 meses, contemplando a instalação, configuração, atualização e capacitação.",,,,,"42.899,97",2020-09-18,2023-09-17,encerrado,não,não,2026-06-26T15:56:41
030-18,CENTRO DE INTEGRAÇÃO EMPRESA ESCOLA - CIEE,61600839000155,cnpj,Pregão,"Contratação de instituição credenciada como agente de integração para propiciar a plena operacionalização de estágios de estudantes na Câmara Legislativa,",,,,,"2.051.330,88",2022-10-08,2023-10-07,encerrado,não,sim,2026-06-26T15:56:41
000-00,SERVIÇO SOCIAL DA INDUSTRIA - SESI-DR-DF,03803317000154,cnpj,Acordo de Cooperação,"Estabelecer ações para empregabilidade dos jovens beneficiários do Projeto VIRAVIDA, assim como desenvolver estratégias promocionais e institucionais que facilitem a inclusão social e profissional desses jovens.",,,,,,2022-10-10,2023-10-09,encerrado,não,não,2026-06-26T15:56:41
ARP 004-22,MULTIPLENA COMÉRCIO E SERVIÇOS LTDA.,04936559000189,cnpj,Ata de Registro de Preço,"Fornecimento e instalação, sob demanda, de divisórias de painéis cegos em MDP (Medium Density Particleboard) e/ou vidro com todos os complementos necessários (portas, fechaduras, maçanetas, etc.).",Jose Gomes da Silva Neto / José Rodrigues Oliveira,Ana Carolina Fontes Rodrigues Panerai / Luiz Marino Kuller,,"PSG nº 127, de 12/05/2023, DCL nº 102, de 16/05/2023.","797.920,00",2022-10-24,2023-10-23,encerrado,não,sim,2026-06-26T15:56:41
,APOIO PRODUÇÕES ETELEMARKETING LTDA EPP,04214501000121,cnpj,Inexigibilidade,"Contratação de assinatura anual da plataforma digital Lista de Autoridades Governamentais - LAG, com acesso ilimitado pela internet, mediante uso de login e senha, e pela intranet da CLDF.",,,,,"7.800,00",2022-11-03,2023-11-02,encerrado,não,sim,2026-06-26T15:56:41
ARP 005-22,SYS COMUNICACAO E TECNOLOGIA LTDA,06259738000154,cnpj,Ata de Registro de Preço,Fornecimento e instalação do sistema complementar de sinalização do Edifício Sede da CLDF.,Jose Gomes da Silva Neto/José Rodrigues Oliveira,Ana Carolina Fontes Rodrigues Panerai / Luiz Marino Kuller,,"PSG nº 131, de 12/05/23, DCL nº 102 de 16/05/23","393.051,45",2022-12-13,2023-12-12,encerrado,não,sim,2026-06-26T15:56:41
,NP TECNOLOGIA E GESTÃO DE DADOS LTDA,07797967000195,cnpj,Inexigibilidade,Fornecimento de assinatura de ferramenta de pesquisa e comparação de preços com disponibiização de duas senhas a serem utilizadas pela DAF e pelo NUAQ para estimar custos das aquisições e das contratações da CLDF.,,,,,"21.730,00",2022-12-18,2023-12-17,encerrado,não,sim,2026-06-26T15:56:41
040-23,MARCIO SANDRO MALLET PEZARIM,04743532000170,cnpj,Dispensa,Contratação de empresa especializada para confecção de 7.231 (sete mil duzentos e trinta e um) bottons de identificação.,,Daniela Priscila de Oliveira Veronezi / Luciana Reis de Medeiros Guimarães,,"PSG n. 284 de 24/11/2023, DCL nº 251 de 27/11/2023","14.462,00",2023-11-21,2024-01-06,encerrado,não,sim,2026-06-26T15:56:41
003-21,EDUCALIBRAS TREINAMENTO E DESENVOLVIMENTO DO IDIOMA DE LIBRAS LTDA.,09475334000196,cnpj,Pregão,"Tradução/interpretação da Língua Brasileira de Sinais (LIBRAS) para a Língua Portuguesa e vice-versa, nas modalidades falada, sinalizada ou escrita, nas formas simultânea ou consecutiva, ao vivo ou ensaiada, gravada ou não, presencial ou virtual.",,Susanny de Oliveira Freire Correa / Rafael Kendi Hanada,,"PSG nº 195, de 09/08/2023, DCL nº 171, de 11/08/2023.","278.976,38",2023-01-13,2024-01-12,encerrado,não,sim,2026-06-26T15:56:41
048-23,MARCIO SANDRO MALLET PEZARIM,04743532000170,cnpj,Dispensa,"Confecção de 113 (cento e treze) condecorações da Ordem do Mérito Legislativo, bem como seus respectivos estojos.",,,,,"17.000,00",2023-12-14,2024-01-27,encerrado,não,sim,2026-06-26T15:56:41
002-19,RIOPRO INFORMÁTICA-LTDA,03828805000116,cnpj,Pregão,"A contratação de empresa para fornecimento de solução integrada de gestão de bens permanentes e de consumo, atualizada tecnologicamente e aderente às normas vigentes para atender às necessidades da CLDF.",Mário Sergio Rodrigues Ananias,Oscar Rafael Montes Monterrojas,,"PSG n° 75, de 14/06/22, DCL nº 123, de 20/06/22.","187.880,00",2023-04-30,2024-01-30,encerrado,não,sim,2026-06-26T15:56:41
003-23,DROGARIA SÃO MIGUEL ARCANJO LTDA,04941693000178,cnpj,Pregão,"Fornecimento parcelado de insumos de enfermagem e de medicamentos, para atendimento do Setor de Assistência à Saúde da Câmara Legislativa do Distrito Federal (SAS/CLDF)",,Fernanda Andrade Toneto Barbosa / Felipe Cesar Stabnow Santos,,"PSG nº 233, de 12/09/23, DCL nº 198, de 14/09/23","35.385,11",2023-02-15,2024-02-14,encerrado,não,sim,2026-06-26T15:56:41
004-23,MILLENNIUM EVENTOS EIRELI,13922714000107,cnpj,Pregão,"Contratação de empresa especializada na organização de eventos e correlatos, denominado CÂMARA MAIS PERTO DE VOCÊ.",CARLOS ANTONIO VIEIRA JUNIOR / WELLINGTON NONATO COELHO DUARTE,RODRIGO SCHIAVON GONÇALVES DA SILVA/DANIELA PRISCILA DE OLIVEIRA VERONEZI; ROBERTO MASSARU SANBUICHI/LUIZ EDUARDO DE OLIVEIRA SOUTO; FLÁVIO AZEVEDO MINEIRO/LEVY CHRISTIANO DIAS RAMOS; OSMAR RODRIGUES DA SILVA/JOSÉ RODRIGUES OLIVEIRA; FABIANA YUKA FUSHIMOTO/JÉSSICA GONÇALVES DA SILVA,DEBORA KELLY GARCIA MARTINS/YAN NUNES RANGEL COSTA,"PSG nº 147, de 31/05/23, DCL nº 119, de 05/06/23","1.782.120,00",2023-02-28,2024-02-27,encerrado,não,sim,2026-06-26T15:56:41
029-23,CP MACEDO SERVICOS FOTOGRAFICOS,11283881000111,cnpj,Dispensa,Serviço de criação de tour virtual hipermídia composto por imagens 360° interligadas dos ambientes da CLDF,,Marilia Magalhães Teixeira / Diego Ferreira Garcia,,"PSG nº 258, de 09/10/23, DCL nº 221 de 11/10/23","5.900,00",2023-09-27,2024-03-27,encerrado,não,sim,2026-06-26T15:56:41
012-22,D´SOUZA ENG MANUTENCOES E INSTALACOES ELETRICAS EIRELI,22823243000162,cnpj,Pregão,"Manutenção preventiva e corretiva de Motores do Sistema Autônomo de de Geração de Energia Elétrica da CLDF, com fornecimento de peças e materiais.",Jose Gomes da Silva Neto/José Rodrigues Oliveir,Bairon Emiliano P Silva/José Álvaro Vieira Pinto,,"PSG nº 134, de 12/05/23, DCL nº 102 de 16/05/23","110.000,00",2023-03-30,2024-03-29,encerrado,não,sim,2026-06-26T15:56:41
010-19,OSM CONSULTORIA E SISTEMAS LTDA,88633680000202,cnpj,Inexigibilidade,"Serviço de manutenção preventiva, corretiva, suporte técnico e capacitação do software MENTORH - Sistema Integrado de Gestão de Pessoas para a CLDF.",Lauro Musumeci Alves Velho,Ana Clélia M. Ramos/Ronald Tetsuo Miura,Gabriel Reis Lourenço Nogueira,"PSG nº 123, de 05/10/2022, DCL nº 204, de 07/10/22","1.083.265,15",2023-04-22,2024-04-21,encerrado,não,sim,2026-06-26T15:56:41
,SERVIÇO SOCIAL DO COMÉRCIO - SESC SP,03667884003308,cnpj,Termo de Compromisso,Licenciamento gratuito de obras audiovisuais produzidas pelo Sesc TV para exibição na TV Câmara Distrital.,Flavio Correa Ferreira/Felipe Machado Porto,Andrea Heloiza Goulart/Patrick da Silva Lelis,,"PSG nº 09, de 09/01/2024, DCL nº 09, de 11/01/2024.",,2022-05-09,2024-05-08,encerrado,não,não,2026-06-26T15:56:41
012-19,SHOW TECNOLOGIA DA INFORMAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA EIRELI,09388567000151,cnpj,Pregão,"Seviço de Manutenção Corretiva, com Forneciemento de Peças Novas e Originais a 840 Computadores da Maraca HP - Marca EliteOne G1.",Paulo Roberto Alves Gonzaga,Manoel Carlos Pereira,,"PSG nº 160, de 01/12/21, DCL nº 255, de 03/12/2021","97.743,96",2023-05-22,2024-05-21,encerrado,não,sim,2026-06-26T15:56:41
011-19,SISTEMA DE EMERGENCIA MOVEL DE BRASILIA,37142932000189,cnpj,Pregão,Prestação de Serviços Contínuos Pré-hospitalars de Móveis de Urgência e de Emergência com Ambulância de Suporte Avançado (tipo D - UTI móvels) para Atender o Edifício Sede e Perímetros da Câmara Legislativa do Distrito Federal.,,Emanuella Barros dos Santos / Raimundo Benício Sousa Júnior,,"PSG nº 217, de 01/09/2023, DCL n.193, de 05/09/2023","58.500,00",2023-05-24,2024-05-23,encerrado,não,sim,2026-06-26T15:56:41
017-22,THS TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO LTDA,10757593000199,cnpj,Pregão,"Contratação de serviços de desenvolvimento e manutenção de softwares dos sistemas de informação da CLDF, em regime de fábrica de software dimensionado em pontos de função.",Helio Minoru Shibatta / Wagner Lopes Dias,Wagner Lopes Dias (item 1) / João de Carvalho Ferreira (item 1) ; Diego Ferreira Garcia (item 2),Gustavo Trindade Oliveira,"PSG nº 236, de 21/09/2023, DCL nº 206 de 25/09/2023","1.576.025,00",2023-05-24,2024-05-23,encerrado,não,sim,2026-06-26T15:56:41
,UNIVERSIDADE DE BRASÍLIA (UNB),00038174000143,cnpj,Acordo de Cooperação,"Estudo, compartilhamento e parceria para produção, veiculação de programas e ações de interesse mútuo entre a TV E RÁDIO DISTRITAL e a Rádio e Televisão Universitárias (UnBTV)",Flávio Correa Ferreira/Andrea Heloiza Goulart,Nathaly Rodrigues da Costa/Felipe Machado Porto,,"PSG nº 08, de 05/01/2024, DCL nº 09, de 11/01/2024.",,2023-06-07,2024-06-06,encerrado,não,não,2026-06-26T15:56:41
013-2023,AR RP CERTIFICAÇÃO DIGITAL LTDA,21308480000122,cnpj,Dispensa,"Contratação de empresa especializada na prestação de serviços de emissão de certificados digitais do tipo e-CPF (A3) e e-CNPJ (A1 e A3), padrão ICP-Brasil.",,João Batista Carneiro Neto / Guilherme de Oliveira Cruz,,"PSG n. 179 de 11/07/2023, DCL nº 149 de 13/06/2023",,2023-06-30,2024-06-29,encerrado,não,sim,2026-06-26T15:56:41
026-21,FIESTASECO SERVIÇOS DE LAVANDERIA LTDA ME,27410479000190,cnpj,Pregão,"A prestação de serviços de lavanderia de roupas de serviço de saúde, envolvendo a coleta de roupas, transporte para as dependências da CONTRATADA, lavagem higienização, desinfecção, passagem e devolução da roupa processada ao SAS DA CLDF.",Lincoln Vitor Santos,Lucas Denoni Crato,,"PSG n. 113, de 09/08/2021, DCL n. 174 de 11/08/19","1.286,40",2023-07-22,2024-07-21,encerrado,não,sim,2026-06-26T15:56:41
